Make,Model,Drivetrain,Max Power,Max Torque,Length,Width,Height,Weight,Aspiration
Audi,RS 5 Turbo DTM '19,FR,603 HP,479.7 ft-lb,195.2 in.,76.8 in.,45.3 in.,2174 lbs.,TC
Audi,Sport quattro S1 Pikes Peak '87,4WD,588 HP,435.4 ft-lb,166.9 in.,73.2 in.,52.9 in.,2205 lbs.,TC
Audi,TT Coupé 3.2 quattro '03,4WD,239 HP,236.5 ft-lb,159.1 in.,69.4 in.,53.0 in.,3351 lbs.,NA
Audi,TT Cup '16,FF,335 HP,295.0 ft-lb,167.7 in.,78.5 in.,50.5 in.,2480 lbs.,TC
Audi,TTS Coupé '09,4WD,268 HP,258.2 ft-lb,165.3 in.,72.5 in.,53.0 in.,3120 lbs.,TC
Audi,TTS Coupé '14,4WD,305 HP,280.5 ft-lb,165.0 in.,72.1 in.,52.9 in.,3053 lbs.,TC
Audi,Vision Gran Turismo,4WD,735 HP,516.4 ft-lb,185.2 in.,83.7 in.,43.6 in.,2756 lbs.,TC
Audi,e-tron Vision Gran Turismo,4WD,803 HP,- ft-lb,185.2 in.,83.7 in.,43.6 in.,3197 lbs.,EV
Autobianchi,A112 Abarth '85,FF,71 HP,64.3 ft-lb,128.7 in.,58.3 in.,53.5 in.,1565 lbs.,NA
BAC,Mono '16,MR,304 HP,227.1 ft-lb,155.6 in.,72.3 in.,43.7 in.,1279 lbs.,NA
BMW,3.0 CSL '71,FR,177 HP,188.0 ft-lb,183.5 in.,67.3 in.,53.9 in.,2568 lbs.,NA
BMW,3.0 CSL '73,FR,202 HP,211.2 ft-lb,183.5 in.,68.1 in.,53.9 in.,2756 lbs.,NA
BMW,M2 Competition '18,FR,405 HP,405.7 ft-lb,175.6 in.,73.0 in.,55.5 in.,3472 lbs.,TC
BMW,M3 '89,FR,212 HP,169.9 ft-lb,171.1 in.,66.1 in.,53.9 in.,2646 lbs.,NA
BMW,M3 '97,FR,316 HP,258.2 ft-lb,174.5 in.,67.3 in.,52.6 in.,3219 lbs.,NA
BMW,M3 Coupé '03,FR,339 HP,269.0 ft-lb,176.8 in.,70.1 in.,53.9 in.,3439 lbs.,NA
BMW,M3 Coupé '07,FR,415 HP,295.2 ft-lb,181.7 in.,71.0 in.,55.8 in.,3649 lbs.,NA
BMW,M3 GT '11,FR,500 HP,369.0 ft-lb,185.6 in.,75.5 in.,50.7 in.,2745 lbs.,NA
BMW,M3 Sport Evolution '89,FR,234 HP,177.2 ft-lb,171.1 in.,66.1 in.,54.5 in.,2646 lbs.,NA
BMW,M4 Coupé '14,FR,425 HP,405.9 ft-lb,183.9 in.,73.6 in.,54.4 in.,3300 lbs.,TC
BMW,M4 Gr.4,FR,394 HP,376.6 ft-lb,188.1 in.,73.6 in.,53.3 in.,3009 lbs.,TC
BMW,M4 Safety Car,FR,425 HP,405.9 ft-lb,183.9 in.,73.6 in.,54.4 in.,3300 lbs.,TC
BMW,M6 GT3 Endurance Model '16,FR,584 HP,553.3 ft-lb,194.6 in.,80.6 in.,50.3 in.,2866 lbs.,TC
BMW,M6 GT3 Sprint Model '16,FR,584 HP,553.3 ft-lb,194.6 in.,80.6 in.,50.3 in.,2866 lbs.,TC
BMW,McLaren F1 GTR Race Car '97,MR,602 HP,524.7 ft-lb,193.9 in.,75.6 in.,44.1 in.,2094 lbs.,NA
BMW,Vision Gran Turismo,FR,541 HP,501.8 ft-lb,179.4 in.,75.7 in.,52.4 in.,2601 lbs.,TC
BMW,Z4 3.0i '03,FR,227 HP,221.3 ft-lb,161.1 in.,70.1 in.,51.1 in.,2844 lbs.,NA
BMW,Z4 GT3 '11,FR,522 HP,380.0 ft-lb,172.7 in.,79.2 in.,47.6 in.,2623 lbs.,NA
BMW,Z8 '01,FR,395 HP,368.8 ft-lb,173.2 in.,72.0 in.,51.8 in.,3549 lbs.,NA
BMW,i3 '15,MR,166 HP,- ft-lb,157.9 in.,69.9 in.,61.0 in.,2778 lbs.,EV
BVLGARI,Aluminium Vision Gran Turismo,MR,394 HP,278.6 ft-lb,165.2 in.,75.2 in.,40.6 in.,2205 lbs.,NA
Bugatti,Chiron '16,4WD,1479 HP,1197.0 ft-lb,178.9 in.,80.2 in.,47.7 in.,4398 lbs.,TC
Bugatti,Veyron 16.4 '13,4WD,986 HP,922.5 ft-lb,175.7 in.,78.7 in.,47.5 in.,4162 lbs.,TC
Bugatti,Veyron Gr.4,4WD,433 HP,405.6 ft-lb,177.0 in.,78.7 in.,46.0 in.,3638 lbs.,TC
Bugatti,Vision Gran Turismo,4WD,1626 HP,1353.2 ft-lb,187.1 in.,83.6 in.,44.6 in.,3086 lbs.,TC
Bugatti,Vision Gran Turismo (Gr.1),4WD,641 HP,533.2 ft-lb,187.1 in.,83.6 in.,44.6 in.,2161 lbs.,TC
Chaparral,2J '70,MR,683 HP,549.7 ft-lb,145.0 in.,78.0 in.,38.0 in.,1810 lbs.,NA
Chevrolet,Camaro 1969 Race-Mod,FR,657 HP,623.6 ft-lb,186.0 in.,74.0 in.,51.6 in.,2910 lbs.,SC
Chevrolet,Camaro SS '16,FR,453 HP,455.6 ft-lb,188.3 in.,74.7 in.,53.1 in.,3686 lbs.,NA
Chevrolet,Camaro Z28 '69,FR,289 HP,290.0 ft-lb,186.0 in.,74.0 in.,51.6 in.,3120 lbs.,NA
Chevrolet,Camaro ZL1 1LE Package '18,FR,649 HP,640.8 ft-lb,188.3 in.,74.7 in.,52.4 in.,3818 lbs.,SC
Chevrolet,Chaparral 2X Vision Gran Turismo,---,905 HP,587.4 ft-lb,163.4 in.,77.7 in.,34.6 in.,992 lbs.,---
Chevrolet,Chevelle SS 454 Sport Coupé '70,FR,449 HP,499.7 ft-lb,197.2 in.,75.4 in.,52.6 in.,3885 lbs.,NA
Chevrolet,Corvette (C1) '58,FR,243 HP,300.1 ft-lb,177.2 in.,72.8 in.,51.1 in.,2926 lbs.,NA
Chevrolet,Corvette C7 Gr.3,FR,571 HP,527.2 ft-lb,188.1 in.,80.7 in.,45.7 in.,2866 lbs.,NA
Chevrolet,Corvette C7 Gr.3 Road Car,FR,493 HP,487.5 ft-lb,179.9 in.,80.7 in.,45.7 in.,3263 lbs.,NA
Chevrolet,Corvette C7 Gr.4,FR,414 HP,419.5 ft-lb,180.1 in.,73.7 in.,46.9 in.,2976 lbs.,NA
Chevrolet,Corvette C7 Stingray '14,FR,453 HP,460.0 ft-lb,177.0 in.,73.9 in.,48.6 in.,3307 lbs.,NA
Chevrolet,Corvette C7 ZR1 '19,FR,754 HP,715.3 ft-lb,179.8 in.,77.4 in.,48.5 in.,3560 lbs.,SC
Chevrolet,Corvette C8 Stingray '20,MR,494 HP,470.1 ft-lb,182.3 in.,76.1 in.,48.6 in.,3373 lbs.,NA
Chevrolet,Corvette CX Concept '25,4WD,2145 HP,- ft-lb,186.3 in.,86.5 in.,41.0 in.,3086 lbs.,EV
Chevrolet,Corvette CX.R Vision Gran Turismo Concept,4WD,2038 HP,- ft-lb,186.3 in.,86.5 in.,41.0 in.,2756 lbs.,TC
Chevrolet,Corvette Sting Ray Sport Coupe (C2) '63,FR,359 HP,352.2 ft-lb,175.3 in.,69.6 in.,49.8 in.,3042 lbs.,NA
Chevrolet,Corvette Stingray Convertible (C3) '69,FR,298 HP,380.0 ft-lb,182.5 in.,69.0 in.,47.9 in.,3422 lbs.,NA
Chevrolet,Corvette Stingray L46 350 (C3) '69,FR,350 HP,394.4 ft-lb,182.5 in.,69.0 in.,47.8 in.,3285 lbs.,NA
Chevrolet,Corvette Stingray Racer Concept '59,FR,314 HP,289.3 ft-lb,174.4 in.,69.0 in.,49.8 in.,2535 lbs.,NA
Chevrolet,Corvette Z06 (C5) '01,FR,384 HP,385.5 ft-lb,179.7 in.,73.6 in.,47.7 in.,3106 lbs.,NA
Chevrolet,Corvette ZR-1 (C4) '89,FR,375 HP,370.3 ft-lb,177.4 in.,74.0 in.,46.7 in.,3466 lbs.,NA
Chevrolet,Corvette ZR1 (C6) '09,FR,639 HP,603.9 ft-lb,176.2 in.,75.9 in.,49.0 in.,3325 lbs.,SC
Chris Holstrom Concepts,1967 Chevy Nova,FR,732 HP,693.3 ft-lb,187.4 in.,71.3 in.,53.8 in.,3011 lbs.,SC
Citroën,BX 19 TRS '87,FF,103 HP,119.3 ft-lb,166.8 in.,66.2 in.,53.5 in.,2194 lbs.,NA
Citroën,DS 21 Pallas '70,FF,103 HP,122.9 ft-lb,191.7 in.,70.9 in.,57.9 in.,2866 lbs.,NA
DAIHATSU,COPEN RJ Vision Gran Turismo,FF,146 HP,149.4 ft-lb,139.4 in.,60.4 in.,52.4 in.,1323 lbs.,TC
DMC,DeLorean S2 '04,RR,197 HP,211.9 ft-lb,168.0 in.,73.1 in.,44.9 in.,2840 lbs.,NA
DS,3 Racing '11,FF,203 HP,202.5 ft-lb,155.4 in.,67.6 in.,59.1 in.,2568 lbs.,TC
Daihatsu,Copen Active Top '02,FF,62 HP,81.1 ft-lb,133.7 in.,58.1 in.,49.0 in.,1830 lbs.,TC
Dallara,SF19 Super Formula / Honda '19,MR,639 HP,368.4 ft-lb,206.0 in.,75.2 in.,37.8 in.,1455 lbs.,TC
Dallara,SF19 Super Formula / Toyota '19,MR,639 HP,368.4 ft-lb,206.0 in.,75.2 in.,37.8 in.,1455 lbs.,TC
Dallara,SF23 Super Formula/Honda '23,MR,625 HP,398.0 ft-lb,206.1 in.,75.6 in.,37.8 in.,1477 lbs.,TC
Dallara,SF23 Super Formula/Toyota '23,MR,625 HP,398.0 ft-lb,206.1 in.,75.6 in.,37.8 in.,1477 lbs.,TC
De Tomaso,Mangusta '69,MR,300 HP,410.8 ft-lb,168.3 in.,72.0 in.,43.3 in.,2612 lbs.,NA
De Tomaso,Pantera '71,MR,325 HP,344.2 ft-lb,168.1 in.,72.0 in.,43.3 in.,3131 lbs.,NA
Dodge,Challenger R/T '70,FR,425 HP,489.8 ft-lb,191.5 in.,76.5 in.,51.0 in.,3801 lbs.,NA
Dodge,Challenger SRT Demon '18,FR,840 HP,770.3 ft-lb,197.4 in.,78.8 in.,57.4 in.,4279 lbs.,SC
Dodge,Charger R/T 426 Hemi '68,FR,425 HP,490.3 ft-lb,208.0 in.,76.6 in.,53.0 in.,3979 lbs.,NA
Dodge,Charger SRT Hellcat '15,FR,707 HP,650.2 ft-lb,200.3 in.,74.2 in.,58.2 in.,4365 lbs.,SC
Dodge,Charger SRT Hellcat Safety Car,FR,707 HP,650.2 ft-lb,200.3 in.,74.2 in.,58.2 in.,4365 lbs.,SC
Dodge,SRT Tomahawk GTS-R Vision Gran Turismo,4WD,1449 HP,719.4 ft-lb,198.4 in.,88.6 in.,37.4 in.,1462 lbs.,NA
Dodge,SRT Tomahawk S Vision Gran Turismo,4WD,1006 HP,501.0 ft-lb,198.4 in.,88.6 in.,37.4 in.,2030 lbs.,NA
Dodge,SRT Tomahawk Vision Gran Turismo (Gr.1),MR,693 HP,439.4 ft-lb,202.4 in.,88.3 in.,38.3 in.,2094 lbs.,NA
Dodge,SRT Tomahawk X Vision Gran Turismo,4WD,2586 HP,898.5 ft-lb,198.4 in.,88.6 in.,37.4 in.,1651 lbs.,NA
Dodge,Super Bee '70,FR,335 HP,425.2 ft-lb,210.0 in.,76.7 in.,53.0 in.,3380 lbs.,NA
Dodge,Viper GTS '02,FR,448 HP,489.6 ft-lb,176.7 in.,75.7 in.,48.0 in.,3459 lbs.,NA
Dodge,Viper GTS '13,FR,640 HP,600.7 ft-lb,175.7 in.,76.4 in.,49.1 in.,3430 lbs.,NA
Dodge,Viper Gr.4,FR,428 HP,403.0 ft-lb,182.0 in.,76.1 in.,47.8 in.,3086 lbs.,NA
Dodge,Viper SRT GT3-R '15,FR,678 HP,640.8 ft-lb,178.7 in.,81.4 in.,45.7 in.,2844 lbs.,NA
Dodge,Viper SRT10 Coupe '06,FR,508 HP,534.8 ft-lb,175.6 in.,75.2 in.,47.6 in.,3450 lbs.,NA
Eckert's Rod & Custom,Mach Forty,MR,787 HP,780.2 ft-lb,179.6 in.,78.1 in.,47.1 in.,3501 lbs.,SC
Enzo,Ferrari '02,MR,658 HP,484.8 ft-lb,185.1 in.,80.1 in.,45.2 in.,2767 lbs.,NA
FIAT,500 1.2 8V Lounge SS '08,FF,65 HP,75.6 ft-lb,139.6 in.,64.0 in.,59.6 in.,2227 lbs.,NA
FIAT,500 F '68,RR,16 HP,22.4 ft-lb,116.9 in.,52.0 in.,52.6 in.,1146 lbs.,NA
FIAT Abarth,595 Esseesse '70,RR,30 HP,32.4 ft-lb,116.9 in.,52.0 in.,52.2 in.,1036 lbs.,NA
FIAT,Panda 30 CL '85,FF,29 HP,30.2 ft-lb,133.1 in.,58.3 in.,56.9 in.,1433 lbs.,NA
Ferrari,250 GT Berlinetta passo corto '61,FR,275 HP,221.3 ft-lb,163.4 in.,66.5 in.,49.6 in.,2116 lbs.,NA
Ferrari,250 GTO '62,FR,295 HP,221.3 ft-lb,170.3 in.,63.0 in.,47.6 in.,1940 lbs.,NA
Ferrari,296 GT3 '23,MR,599 HP,525.8 ft-lb,179.7 in.,80.7 in.,46.9 in.,2822 lbs.,TC
Ferrari,296 GTB '22,MR,818 HP,546.1 ft-lb,179.7 in.,77.1 in.,46.7 in.,3241 lbs.,TC
Ferrari,308 GTB '75,MR,251 HP,216.9 ft-lb,166.5 in.,67.7 in.,44.1 in.,2403 lbs.,NA
Ferrari,330 P4 '67,MR,448 HP,385.5 ft-lb,164.8 in.,71.3 in.,39.4 in.,1746 lbs.,NA
Ferrari,365 GTB4 '71,FR,347 HP,318.2 ft-lb,174.2 in.,69.3 in.,49.0 in.,2646 lbs.,NA
Ferrari,430 Scuderia '07,MR,502 HP,347.1 ft-lb,177.6 in.,75.7 in.,47.2 in.,2976 lbs.,NA
Ferrari,458 Italia '09,MR,563 HP,398.5 ft-lb,178.2 in.,76.3 in.,47.8 in.,3274 lbs.,NA
Ferrari,458 Italia GT3 '13,MR,542 HP,405.7 ft-lb,181.1 in.,80.1 in.,45.6 in.,2679 lbs.,NA
Ferrari,458 Italia Gr.4,MR,374 HP,265.4 ft-lb,179.3 in.,76.3 in.,45.6 in.,2976 lbs.,NA
Ferrari,500 Mondial Pinin Farina Coupe '54,FR,168 HP,128.1 ft-lb,155.0 in.,64.5 in.,38.0 in.,1587 lbs.,NA
Ferrari,512 BB '76,MR,354 HP,332.7 ft-lb,173.2 in.,72.0 in.,44.1 in.,3086 lbs.,NA
Ferrari,812 Superfast '17,FR,788 HP,530.2 ft-lb,183.3 in.,77.6 in.,50.2 in.,3362 lbs.,NA
Ferrari,Dino 246 GT '71,MR,191 HP,165.6 ft-lb,166.7 in.,66.9 in.,44.7 in.,2381 lbs.,NA
Ferrari,F12berlinetta '12,FR,730 HP,509.1 ft-lb,181.8 in.,76.5 in.,50.1 in.,3362 lbs.,NA
Ferrari,F40 '92,MR,471 HP,425.2 ft-lb,171.6 in.,77.6 in.,44.3 in.,2425 lbs.,TC
Ferrari,F430 '06,MR,495 HP,342.8 ft-lb,177.6 in.,75.7 in.,47.8 in.,3197 lbs.,NA
Ferrari,F50 '95,MR,511 HP,347.1 ft-lb,176.4 in.,78.2 in.,44.1 in.,2712 lbs.,NA
Ferrari,F8 Tributo '19,MR,710 HP,568.4 ft-lb,181.5 in.,77.9 in.,47.5 in.,2932 lbs.,TC
Ferrari,FXX K '14,MR,1034 HP,553.3 ft-lb,192.8 in.,80.7 in.,43.9 in.,2568 lbs.,NA
Ferrari,GTO '84,MR,393 HP,368.8 ft-lb,168.9 in.,75.2 in.,44.1 in.,2557 lbs.,TC
Ferrari,La '13,MR,949 HP,516.5 ft-lb,185.1 in.,78.4 in.,43.9 in.,2767 lbs.,NA
Ferrari,Testarossa '91,MR,384 HP,361.6 ft-lb,176.6 in.,77.8 in.,44.5 in.,3320 lbs.,NA
Ferrari,Vision Gran Turismo,4WD,1363 HP,664.2 ft-lb,184.6 in.,91.7 in.,41.1 in.,2756 lbs.,TC
Ford,Escort RS Cosworth '92,4WD,223 HP,219.8 ft-lb,165.8 in.,68.4 in.,56.1 in.,2811 lbs.,TC
Ford,F-150 SVT Raptor '11,4WD,411 HP,433.9 ft-lb,220.6 in.,86.3 in.,78.5 in.,6005 lbs.,NA
Ford,Focus Gr.B Rally Car,4WD,538 HP,427.4 ft-lb,173.9 in.,78.7 in.,61.8 in.,2778 lbs.,TC
Ford,Focus RS '18,4WD,350 HP,352.9 ft-lb,172.8 in.,71.7 in.,58.0 in.,3433 lbs.,TC
Ford,Focus ST '15,FF,250 HP,269.7 ft-lb,171.7 in.,71.7 in.,58.4 in.,3223 lbs.,TC
Ford,GT '06,MR,550 HP,500.5 ft-lb,182.8 in.,76.9 in.,44.3 in.,3199 lbs.,SC
Ford,GT '17,MR,646 HP,549.7 ft-lb,187.5 in.,78.9 in.,43.7 in.,3053 lbs.,TC
Ford,GT LM Race Car Spec II,MR,606 HP,526.5 ft-lb,181.6 in.,76.8 in.,43.5 in.,2491 lbs.,SC
Ford,GT LM Spec II Test Car,MR,590 HP,533.7 ft-lb,182.8 in.,76.9 in.,44.3 in.,2568 lbs.,SC
Ford,GT Race Car '18,MR,527 HP,451.3 ft-lb,187.5 in.,80.5 in.,40.6 in.,2646 lbs.,TC
Ford,GT40 Mark I '66,MR,354 HP,336.5 ft-lb,165.0 in.,70.0 in.,40.5 in.,2381 lbs.,NA
Ford,Mark IV Race Car '67,MR,503 HP,470.1 ft-lb,171.0 in.,70.5 in.,38.5 in.,2205 lbs.,NA
Ford,Mustang Boss 429 '69,FR,374 HP,450.6 ft-lb,187.4 in.,71.8 in.,50.4 in.,3558 lbs.,NA
Ford,Mustang GT Premium Fastback '15,FR,434 HP,399.9 ft-lb,188.3 in.,75.4 in.,53.7 in.,3706 lbs.,NA
Ford,Mustang Gr.3,FR,568 HP,442.6 ft-lb,193.8 in.,78.7 in.,50.4 in.,2866 lbs.,NA
Ford,Mustang Gr.3 Road Car,FR,502 HP,385.5 ft-lb,190.7 in.,78.7 in.,50.4 in.,3307 lbs.,NA
Ford,Mustang Gr.4,FR,395 HP,370.2 ft-lb,190.3 in.,75.4 in.,52.0 in.,3086 lbs.,NA
Ford,Mustang Gr.B Rally Car,4WD,549 HP,420.9 ft-lb,191.7 in.,78.7 in.,55.9 in.,3042 lbs.,NA
Ford,Mustang Mach 1 '71,FR,302 HP,370.3 ft-lb,189.5 in.,74.1 in.,50.1 in.,3560 lbs.,NA
Ford,Shelby GT350R '16,FR,525 HP,429.6 ft-lb,189.7 in.,75.9 in.,53.6 in.,3655 lbs.,NA
Ford,Sierra RS 500 Cosworth '87,FR,223 HP,206.8 ft-lb,175.6 in.,68.0 in.,54.2 in.,2661 lbs.,TC
GReddy,Fugu Z,FR,294 HP,243.0 ft-lb,163.0 in.,71.9 in.,50.6 in.,2425 lbs.,NA
GT,by Citroën Gr.4,MR,394 HP,283.6 ft-lb,195.2 in.,88.6 in.,47.7 in.,2866 lbs.,NA
GT,by Citroën Race Car (Gr.3),MR,599 HP,431.0 ft-lb,205.0 in.,83.5 in.,43.9 in.,2646 lbs.,NA
GT,by Citroën Road Car,MR,500 HP,384.0 ft-lb,195.0 in.,81.7 in.,42.9 in.,3197 lbs.,NA
Garage RCR,Civic,FF,389 HP,324.0 ft-lb,160.0 in.,66.9 in.,52.0 in.,2235 lbs.,TC
Genesis,G70 3.3T AWD Prestige Package '22,4WD,366 HP,376.1 ft-lb,184.4 in.,72.8 in.,55.1 in.,4001 lbs.,TC
Genesis,G70 GR4,4WD,414 HP,389.0 ft-lb,186.2 in.,74.1 in.,54.4 in.,3086 lbs.,TC
Genesis,X GR3,FR,547 HP,514.1 ft-lb,193.9 in.,78.4 in.,52.4 in.,2822 lbs.,TC
Genesis,X Gran Berlinetta Vision Gran Turismo Concept,4WD,869 HP,789.8 ft-lb,178.8 in.,74.8 in.,41.3 in.,2337 lbs.,TC+SC
Genesis,X Gran Racer Vision Gran Turismo Concept,4WD,869 HP,789.8 ft-lb,178.8 in.,74.8 in.,41.3 in.,2401 lbs.,TC+SC
Gran Turismo,F1500T-A,MR,986 HP,485.8 ft-lb,166.7 in.,84.5 in.,39.5 in.,1190 lbs.,TC
Gran Turismo,F3500-A,MR,773 HP,299.5 ft-lb,168.7 in.,84.0 in.,38.7 in.,1166 lbs.,NA
Gran Turismo,F3500-B,MR,719 HP,300.2 ft-lb,168.7 in.,84.0 in.,38.7 in.,1113 lbs.,NA
Gran Turismo,Racing Kart 125 Shifter,MR,49 HP,18.5 ft-lb,79.9 in.,53.9 in.,21.5 in.,231 lbs.,NA
Gran Turismo,Red Bull X2014 Junior,MR,246 HP,166.5 ft-lb,173.2 in.,71.8 in.,39.4 in.,1213 lbs.,NA
Gran Turismo,Red Bull X2014 Standard,MR,798 HP,280.4 ft-lb,200.7 in.,85.2 in.,39.4 in.,1433 lbs.,TC
Gran Turismo,Red Bull X2019 Competition,MR,804 HP,243.3 ft-lb,200.7 in.,85.2 in.,39.4 in.,1433 lbs.,NA
Greening Auto Company,Maverick,FR,1199 HP,899.7 ft-lb,180.3 in.,75.4 in.,50.8 in.,3600 lbs.,TC
HYUNDAI,N 2025 Vision Gran Turismo,4WD,870 HP,- ft-lb,184.2 in.,89.2 in.,36.7 in.,2143 lbs.,EV
HYUNDAI,N 2025 Vision Gran Turismo (Gr.1),4WD,640 HP,444.3 ft-lb,184.2 in.,89.2 in.,36.7 in.,2143 lbs.,NA
Honda,Beat '91,MR,63 HP,44.0 ft-lb,129.7 in.,54.9 in.,46.3 in.,1675 lbs.,NA
Honda,CR-V e:HEV EX・Black Edition '21,4WD,181 HP,232.4 ft-lb,181.3 in.,73.0 in.,66.5 in.,3748 lbs.,NA
Honda,Civic Si Extra (EF) '87,FF,128 HP,106.3 ft-lb,156.1 in.,66.1 in.,52.6 in.,2006 lbs.,NA
Honda,Civic SiR･II (EG) '93,FF,167 HP,115.7 ft-lb,160.2 in.,66.7 in.,53.1 in.,2359 lbs.,NA
