Track,Layout,Country,Track Length,Elevation Difference,Number of Corners,Longest Straight
Kyoto Driving Park,Yamagiwa,Japan,3.05 miles,0.02 miles,15,0.46 miles
Kyoto Driving Park,Yamagiwa Reverse,Japan,3.05 miles,0.02 miles,15,0.46 miles
Kyoto Driving Park,Yamagiwa+Miyabi,Japan,4.25 miles,0.02 miles,19,0.46 miles
Kyoto Driving Park,Yamagiwa+Miyabi Reverse,Japan,4.25 miles,0.02 miles,19,0.46 miles
Lake Louise,Long Track,Canada,2.30 miles,0.05 miles,11,0.48 miles
Lake Louise,Long Track Reverse,Canada,2.30 miles,0.05 miles,11,0.48 miles
Lake Louise,Short Track,Canada,1.60 miles,0.04 miles,7,0.64 miles
Lake Louise,Short Track Reverse,Canada,1.60 miles,0.04 miles,7,0.64 miles
Lake Louise,Tri-Oval,Canada,1.91 miles,0.05 miles,3,0.74 miles
Lake Louise,Tri-Oval Reverse,Canada,1.91 miles,0.05 miles,3,0.74 miles
Michelin Raceway Road Atlanta,,United States,2.54 miles,0.02 miles,12,0.79 miles
Mount Panorama Motor Racing Circuit,,Australia,3.86 miles,0.11 miles,23,1.19 miles
Northern Isle Speedway,,United States,0.56 miles,0 miles,4,0.08 miles
Nürburgring,24h,Germany,15.77 miles,0.19 miles,89,1.33 miles
Nürburgring,Endurance,Germany,14.83 miles,0.19 miles,85,1.33 miles
Nürburgring,Endurance II,Germany,14.83 miles,0.19 miles,85,1.33 miles
Nürburgring,GP,Germany,3.20 miles,0.04 miles,17,0.39 miles
Nürburgring,Nordschleife,Germany,12.94 miles,0.19 miles,73,1.33 miles
Nürburgring,Nordschleife Tourist,Germany,12.94 miles,0.19 miles,73,1.33 miles
Nürburgring,Sprint,Germany,2.26 miles,0.02 miles,12,0.39 miles
Red Bull Ring,,Austria,2.68 miles,0.04 miles,10,0.58 miles
Red Bull Ring,Short Track,Austria,1.45 miles,0.02 miles,6,0.58 miles
Sardegna,Road Track - A,Italy,3.18 miles,0.02 miles,15,0.57 miles
Sardegna,Road Track - A Reverse,Italy,3.18 miles,0.02 miles,15,0.57 miles
Sardegna,Road Track - B,Italy,2.42 miles,0.04 miles,13,0.57 miles
Sardegna,Road Track - B Reverse,Italy,2.42 miles,0.04 miles,13,0.57 miles
Sardegna,Road Track - C,Italy,1.65 miles,0.03 miles,10,0.57 miles
Sardegna,Road Track - C Reverse,Italy,1.65 miles,0.03 miles,10,0.57 miles
Sardegna,Windmills,Italy,2.06 miles,0.05 miles,14,0.19 miles
Sardegna,Windmills Reverse,Italy,2.06 miles,0.05 miles,14,0.19 miles
Special Stage Route X,,United States,18.82 miles,0.04 miles,2,7.46 miles
Suzuka Circuit,,Japan,3.61 miles,0.03 miles,20,0.75 miles
Suzuka Circuit,East Course,Japan,1.39 miles,0.02 miles,9,0.50 miles
Tokyo Expressway,Central Clockwise,Japan,2.74 miles,0.01 miles,13,0.37 miles
Tokyo Expressway,Central Counterclockwise,Japan,2.72 miles,0.01 miles,14,0.37 miles
Tokyo Expressway,East Clockwise,Japan,4.54 miles,0.02 miles,13,1.24 miles
Tokyo Expressway,East Counterclockwise,Japan,4.47 miles,0.02 miles,13,1.24 miles
Tokyo Expressway,South Clockwise,Japan,3.23 miles,0.02 miles,17,0.56 miles
Tokyo Expressway,South Counterclockwise,Japan,4.08 miles,0.02 miles,16,0.56 miles
Trial Mountain Circuit,,United States,3.38 miles,0.04 miles,15,0.83 miles
Trial Mountain Circuit,Reverse,United States,3.38 miles,0.04 miles,15,0.83 miles
Tsukuba Circuit,,Japan,1.27 miles,0 miles,8,0.28 miles
Watkins Glen,Long Course,United States,3.37 miles,0.03 miles,11,0.35 miles
Watkins Glen,Short Course,United States,2.45 miles,0.01 miles,7,0.39 miles
WeatherTech Raceway Laguna Seca,,United States,2.24 miles,0.03 miles,11,0.28 miles
Willow Springs International Raceway,Big Willow,United States,2.46 miles,0.03 miles,10,0.47 miles
Willow Springs International Raceway,Horse Thief Mile,United States,1.01 miles,0.03 miles,11,0.13 miles
Willow Springs International Raceway,Horse Thief Mile Reverse,United States,1.01 miles,0.03 miles,11,0.13 miles
Willow Springs International Raceway,Streets of Willow Springs,United States,1.66 miles,0.01 miles,14,0.25 miles
Willow Springs International Raceway,Streets of Willow Springs Reverse,United States,1.66 miles,0.01 miles,14,0.25 miles
Yas Marina Circuit,,UAE,3.28 miles,0.01 miles,16,0.77 miles
